name	slug	status	website
ZAPTA Technologies	zapta-technologies	no-website	
Sigi Technologies	sigi-technologies	ok	sigitechnologies.com
ZeeFrames - UI UX Design Agency	zeeframes	ok	zeeframes.com
DeviceBee Technologies	devicebee-technologies	ok	devicebee.com
Arbisoft	arbisoft	no-website	
Fire Bee Techno Services	fire-bee-techno-services	no-website	
Phaedra Solutions	phaedra-solutions	ok	phaedrasolutions.com
BearPlex	bearplex	no-website	
SensViz	sensviz	ok	sensviz.com
MetaLogics	metalogics	ok	metalogics.co
InvoZone	invozone	ok	invozone.com
Sync4Tech Limited	sync4tech	ok	sync4tech.co
Designbub	design-bub	ok	designbub.com
Astoe Company	astoe-company	ok	astoecompany.com
dedev	dedev	ok	dedev.co
ZaSolPK IT Solutions	zasolpk-it-solutions	ok	zasolpk.com
Delloweb International	delloweb-international	ok	delloweb.com
RETLM BPO	retlm-bpo	ok	retlmbpo.com
Hashlogics	hashlogics	ok	hashlogics.com
Tech Implement	tech-implement	ok	techimplement.com
Square63	square63	ok	square63.com
CodeNinja	codeninja	ok	codeninjaconsulting.com
TechGropse Pvt. Ltd.	techgropse	ok	techgropse.ae
EntaLogics	entalogics	ok	entalogics.com
Techayal: Best Software House in Lahore	techayal-best-software-house-in-lahore	ok	techayal.com
Million Web Services	million-web-services	no-website	
Systems Limited	system-limited	ok	systemsltd.com
Digizl.com	digizl-com	ok	digizl.com
Dost Marketing	dost-marketing	ok	dostmarketings.com
Farhan Ali SEOS	farhan-ali-seos	ok	farhanali.tech
My Digital People	my-digital-people	ok	mydigitalpeople.com
Site Slinger	site-slinger	ok	siteslinger.github.io
webfalcons	webfalcons	ok	webfalcons.pk
ibex. Pakistan	ibex-pakistan	ok	ibexpakistan.co
ABS developers	abs-developers	ok	abs-developers.com
Emerald Labs	emerald-labs	ok	emerald-labs.com
Bitforce Solutions	bitforce-solutions	ok	bitforcesolutions.com
Virgo Tech Solutions	virgo-tech-solutions	ok	virgotechsolutions.com
MEDIA LINES ADVERTISING	media-lines-advertising	ok	medialines.com.pk
illustronix	illustronix	no-website	
Abacus-Bpo	abacus-bpo	ok	abacus-bpo.com
Shan Computer Trainings Institute	shan-computer-trainings-institute	ok	shantrainings.com
IT Services & Graphic Designing Agency | Graphics DFY	it-services-graphic-designing-agency-graphics-dfy	ok	graphicsdfy.com
Saeedan Technology	saeedan-technology	ok	saeedantechpvt.com
HITS META	hits-meta	ok	hitsmeta.com
shopdev	shopdev	ok	shopdev.co
Catalyic Security Pvt Ltd	catalyic-security-pvt-ltd	ok	catalyicsecurity.com
Exceinov Private Limited	exceinov-private-limited	ok	exceinov.com
Prixite	prixite	ok	prixite.com
Softpers Interactive	softpers-interactive	ok	softpers.com
MQS IT Solutions (SMC-Private) Limited	mqs-it-solutions-smc-private-limited	ok	mqsitsolutions.com
TRICON 3D	tricon-3d	ok	tricon3d.com
Hiline International	hiline-international	ok	hiline.pk
Axiom World	axiom-world	ok	axiomworld.net
ArchXStudio	archxstudio	ok	archxstudio.com
SignOPlus - Signage Company Lahore	signoplus-signage-company-lahore	ok	signoplus.com
WebSouls	websouls	ok	websouls.com
BPOXpert	bpoxpert	ok	bpoxperts.com
Tricasol	tricasol	ok	tricasol.com
Lahore SEO Services	lahore-seo-services	ok	lahoreseoservices.com
Ezisol	ezisol	ok	ezisol.com.pk
Custom Box	custom-box	ok	custombox.pk
RevenueXcel	revenuexcel	ok	revenue-xcel.com
Ehtishaam	ehtishaam	ok	ehtishaam.com
Hire SQA Engineer	hire-sqa-engineer	ok	hiresqaengineer.com
Global SNI	global-sni	ok	globalsni.com
Whitelinko	whitelinko	ok	whitelinko.com
AAM Consultants	aam-consultants	ok	aamconsultants.org
Codepul	codepul	ok	codepul.com
YBUGS	ybugs	ok	ybugs.com
Bluelinks Agency	bluelinks-agency	ok	bluelinks.agency
Code District	code-district	ok	codedistrict.com
Consecutive Bytes	consecutive-bytes	ok	consecutivebytes.com
AlgoRepublic	algorepublic	ok	algorepublic.com
Jerrax	jerrax	no-website	
MavenUp Creatives	mavenup-creatives	ok	mavenup.com
VAA SEO SERVICES	vaa-seo-services	ok	vaaseoservices.com
ThemSquare	themsquare	ok	themsquare.com.pk
Digital Hive	digital-hive-2	ok	digitalhive.pk
Clustox	clustox-0	no-website	
Ladder Crm	ladder-crm	ok	laddercrm.com
Inspirive Solutions	inspirive-solutions	ok	inspirivesolutions.com
Silicon Nexus	silicon-nexus	ok	silicon-nexus.com
Formonix Marketers	formonix-marketers	ok	formonixmarketers.com
IQBIRDS	iqbirds	ok	iqbirds.com
AAMAX	aamax	ok	aamax.co
OptimusFox	optimusfox	no-website	
MBA Solutions Private Limited	mba-solutions-private-limited	ok	mbasolutions.co
Arwen Tech Pvt Ltd	arwen-tech-pvt-ltd	ok	arwentech.com
Gigalabs	gigalabs	ok	gigalabs.co
Navicosoft	navicosoft	ok	navicosoft.com
Dezital Technologies	dezital-technologies	ok	dezital.com
CherryBerry UCM	cherryberry-ucm	ok	cherryberryucm.com
Conovo Technologies	conovo-technologies	ok	conovoinc.com
The Xpertz	the-xpertz	ok	thexpertz.com
Xeosol Technologies	xeosol-technologies	ok	xeosol.com
Codiveo	codiveo	ok	codiveo.com
Focusteck	focusteck	ok	focusteck.com
Vertekx	vertekx	no-website	
VirtueNetz Pakistan	virtuenetz-pakistan	ok	virtuenetz.pk
Adaxiom Tech	adaxiom-tech	ok	adaxiomtech.com
Crecentech Systems Private Limited	crecentech-systems-private-limited	ok	crecentech.com
Tecnomics International	tecnomics-international	ok	tecnomics.com
Digisol HUb	digisol-hub	ok	digisolhub.com
Message Communications | Advertising Agency	message-communications-advertising-agency	ok	messagepk.com
